City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Urumqi,CN,2022-01-30 21:44:00,43.801,87.6005,-3.05,85,75,2.24,mist
97,Mabaruma,GY,2022-01-30 21:44:00,8.2,-59.7833,76.46,77,39,5.95,scattered clouds
98,Pevek,RU,2022-01-30 21:42:14,69.7008,170.3133,-13.88,96,99,1.99,overcast clouds
99,Torbay,CA,2022-01-30 21:42:36,47.6666,-52.7314,40.39,82,100,23.02,overcast clouds
100,Sampit,ID,2022-01-30 21:44:01,-2.5333,112.95,72.21,90,100,1.83,overcast clouds
101,Boca Do Acre,BR,2022-01-30 21:41:23,-8.7522,-67.3978,79.29,91,95,1.05,overcast clouds
102,Kaitangata,NZ,2022-01-30 21:44:01,-46.2817,169.8464,68.94,70,16,0.29,few clouds
103,Port Alfred,ZA,2022-01-30 21:40:55,-33.5906,26.891,73.78,88,97,17.18,overcast clouds
104,Qaanaaq,GL,2022-01-30 21:43:47,77.484,-69.3632,-8.9,69,100,5.48,overcast clouds
105,Noumea,NC,2022-01-30 21:44:02,-22.2763,166.4572,84.18,99,100,9.55,overcast clouds
106,Sanming,CN,2022-01-30 21:44:02,26.2486,117.6186,38.46,93,47,2.1,scattered clouds
107,Bull Savanna,JM,2022-01-30 21:44:02,17.8868,-77.5902,71.92,76,65,10.51,broken clouds
108,Isangel,VU,2022-01-30 21:44:03,-19.55,169.2667,78.91,94,100,13.8,overcast clouds
109,Hay River,CA,2022-01-30 21:44:03,60.8156,-115.7999,-7.62,77,100,8.05,light snow
110,Weifang,CN,2022-01-30 21:44:03,36.71,119.1019,33.57,69,27,12.53,scattered clouds
111,Novyy Urengoy,RU,2022-01-30 21:44:04,66.0833,76.6333,-12.42,100,96,6.49,overcast clouds
112,Ulaanbaatar,MN,2022-01-30 21:39:27,47.9077,106.8832,-20.07,69,0,4.47,clear sky
113,Ribeira Grande,PT,2022-01-30 21:44:04,38.5167,-28.7,59.4,63,40,19.57,scattered clouds
114,Port Elizabeth,ZA,2022-01-30 21:44:05,-33.918,25.5701,72.1,94,20,12.66,few clouds
115,Tawau,MY,2022-01-30 21:44:05,4.2498,117.8871,73.53,100,100,1.99,overcast clouds
116,Victoria,HK,2022-01-30 21:39:56,22.2855,114.1577,59.32,77,86,1.01,overcast clouds
117,Bonavista,CA,2022-01-30 21:44:05,48.6499,-53.1147,40.12,69,100,36.55,overcast clouds
118,Muisne,EC,2022-01-30 21:44:06,0.6,-80.0333,82.51,80,100,4.76,light rain
119,Mezen,RU,2022-01-30 21:44:06,65.8522,44.24,9.66,96,100,6.04,overcast clouds
120,Appenzell,CH,2022-01-30 21:44:06,47.331,9.41,32.76,83,37,5.01,scattered clouds
121,Sao Joao Da Barra,BR,2022-01-30 21:44:07,-21.6403,-41.0511,84.29,89,9,9.26,clear sky
