City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Maldonado,UY,2022-01-30 01:09:06,-34.6667,-54.9167,69.19,77,3,9.26
214,Comodoro Rivadavia,AR,2022-01-30 01:06:44,-45.8667,-67.5,69.66,37,0,29.93
215,Norman Wells,CA,2022-01-30 01:09:06,65.282,-126.8329,-22.34,98,100,2.06
216,Provideniya,RU,2022-01-30 01:09:06,64.3833,-173.3,4.86,86,24,4.0
217,Dekar,BW,2022-01-30 01:09:07,-21.5333,21.9333,70.75,74,88,12.41
218,Banda Aceh,ID,2022-01-30 01:09:07,5.5577,95.3222,80.15,75,71,5.53
219,Sitka,US,2022-01-30 01:09:07,57.0531,-135.33,37.29,65,100,10.36
220,Santa Maria,BR,2022-01-30 01:06:14,-29.6842,-53.8069,69.46,58,0,10.22
221,Beloha,MG,2022-01-30 01:06:29,-25.1667,45.05,71.74,88,13,10.07
222,Orshanka,RU,2022-01-30 01:09:08,56.9161,47.8933,13.6,95,99,7.02
223,Beringovskiy,RU,2022-01-30 01:09:08,63.05,179.3167,-8.99,99,75,3.0
224,Thurles,IE,2022-01-30 01:09:09,52.6819,-7.8022,35.92,90,58,3.06
225,Nechi,CO,2022-01-30 01:09:09,8.0942,-74.7757,73.35,94,68,1.05
226,Puro,PH,2022-01-30 01:09:09,12.4841,123.3827,82.08,73,9,4.07
227,Khani,GE,2022-01-30 01:09:10,41.9563,42.9566,24.37,79,88,6.89
228,Eureka,US,2022-01-30 01:05:02,40.8021,-124.1637,56.17,79,2,1.01
229,Nelson Bay,AU,2022-01-30 01:09:10,-32.7167,152.15,84.29,67,56,8.14
230,Nakamura,JP,2022-01-30 01:09:10,32.9833,132.9333,44.29,60,100,3.31
231,Letnyaya Stavka,RU,2022-01-30 01:10:11,45.4306,43.4472,32.95,87,93,11.18
232,Belyy Yar,RU,2022-01-30 01:10:11,53.6039,91.3903,-18.51,87,75,0.0
233,Leninskoye,KZ,2022-01-30 01:10:12,41.7589,69.3864,31.93,67,2,3.89
234,Sao Joao Da Barra,BR,2022-01-30 01:09:46,-21.6403,-41.0511,75.88,92,100,6.42
235,Coihaique,CL,2022-01-30 01:07:02,-45.5752,-72.0662,50.61,93,100,1.14
236,Samarai,PG,2022-01-30 01:10:12,-10.6167,150.6667,81.59,73,100,5.66
237,Manggar,ID,2022-01-30 01:10:13,-2.8833,108.2667,80.71,75,100,4.88
